0,1631,1181,2695,2139
1,2146,1336,46,3395
2,3017,344,1354,1048
3,3249,1056,2513,1134
4,2878,1862,1486,3530
5,504,3694,173,1420
6,1929,1101,2065,2804
7,2049,1456,329,1492
8,3417,3398,3528,3844
9,3872,1575,3959,455
10,3735,1810,3906,2671
11,997,3653,3352,1153
12,1950,2289,939,425
13,3640,3794,394,1836
14,2794,3085,1128,2316
15,3809,2703,2879,894
16,3535,2691,356,248
17,146,2019,466,961
18,1996,1491,1677,1320
19,3199,1261,4033,2231
20,2344,3385,1977,1845
21,1917,732,1557,1895
22,593,3544,3682,120
23,3186,2135,2751,1417
24,3780,3777,2991,2572
25,3756,272,2660,782
26,2111,1691,1327,3140
27,2791,3557,2711,3388
28,3111,2748,3589,573
29,3712,3541,2510,2855
30,450,2877,2672,2278
31,2253,2278,3108,1011
32,3132,55,3434,1046
33,1944,125,3828,1036
34,2760,3586,4030,1391
35,2567,1073,2517,1813
36,1723,3595,3122,3809
37,2821,1720,3407,3331
38,2581,389,275,2915
39,1821,294,719,3530
40,1845,2825,866,3047
41,2170,1508,2009,988
42,752,1989,237,171
43,3743,3251,2511,781
44,602,2763,2529,3322
45,3964,198,3286,1131
46,2625,3519,2146,1345
47,1900,1998,545,351
48,3589,1118,39,2716
49,1812,3383,1166,156
50,4034,3164,3983,3505
51,884,2774,644,1926
52,2148,558,3864,1545
53,143,3877,2564,1820
54,76,2323,834,884
55,2552,1520,1871,2420
56,2028,1705,772,637
57,2796,3107,3155,3574
58,852,2001,3012,2025
59,425,1300,496,600
60,2801,3844,1704,1048
61,2670,2318,2829,307
62,2472,2817,846,264
63,2405,2663,3377,702
64,503,3783,1626,270
65,1574,494,1388,3035
66,2851,3619,1948,671
67,546,3306,811,762
68,3001,1264,1695,1655
69,200,597,3232,2661
70,613,212,785,2183
71,729,3210,3571,1945
72,3858,193,2142,3281
73,2390,3084,2468,592
74,817,436,2832,2641
75,3718,2826,2463,664
76,2095,2707,54,4012
77,564,1687,1469,434
78,383,2097,1098,2151
79,1170,876,2683,3024
80,1517,210,536,697
81,1220,1320,1783,2635
82,637,2741,3637,2176
83,407,542,1446,1951
84,4018,3335,486,841
85,3981,3333,2679,1464
86,1054,1083,1436,949
87,1323,3293,3674,2579
88,715,3519,2533,1510
89,802,84,2487,3859
90,338,500,2659,3671
91,2009,1888,2295,2210
92,2553,3145,2103,3995
93,578,1814,1998,3836
94,2675,1256,1075,1947
95,1831,3845,1257,3804
96,1859,2453,2315,880
97,2047,1861,1820,1280
98,1269,3374,1019,3717
99,2710,1032,1776,3726
100,1575,455,3729,3819
101,943,1953,3404,1274
102,2666,2183,2752,212
103,2980,2572,1425,624
104,2860,773,962,3998
105,3836,2681,1863,2709
106,637,2741,82,3001
107,3651,813,1947,1822
108,931,626,2211,3846
109,2070,3401,188,3338
110,1034,2487,422,3230
111,1692,2124,1634,711
112,1689,3160,1805,2573
113,2498,3508,923,802
