tag_id,tag
0,Search
1,Localization
2,Politics
3,Campaigns
4,Web Site Management
5,Mapping
6,Tourism
7,Health
8,Healthcare
9,Medical
10,Medicine
11,Open Data
12,Translation
13,Language
14,Analytics
15,Voting
16,Identity
17,Marketing
18,Parking
19,Transportation
20,Accounts
21,Images
22,Social
23,Advertising
24,Movies
25,Networking
26,Telephony
27,Electronic Signature
28,Real Time
29,Video
30,Art
31,Photos
32,Reference
33,Mobile
34,Open Source
35,Verification
36,Surveys
37,Customer Service
38,Browsers
39,Email
40,Internet of Things
41,Support
42,Documents
43,Conversions
44,HTML5
45,Tools
46,Weather
47,Location
48,Messaging
49,Community
50,Forms
51,Events
52,Safety
53,Auto
54,Text
55,Bots
56,Games
57,Recommendations
58,eCommerce
59,Visualizations
60,Enterprise
61,Funding
62,eBooks
63,Transactions
64,Financial
65,Charity
66,Sales
67,Animals
68,Streaming
69,Music
70,Natural Language Processing
71,Artificial Intelligence
72,B2B
73,Big Data
74,Business
75,Database
76,Software-as-a-Service
77,Scheduling
78,Collaboration
79,Sports
80,Cycling
81,Media
82,Government
83,Contracts
84,Project Management
85,Marketplace
86,Data
87,Billing
88,Entertainment
89,Guides
90,Profiles
91,Charts
92,Monetization
93,Booking
94,Air Travel
95,Travel
96,Hotels
97,Cities
98,Fitness
99,Wiki
100,Classifieds
101,Lists
102,Ratings
103,Geography
104,Viewer
105,Pets
106,Tickets
107,3D
108,Automation
109,News Services
110,Notifications
111,Environment
112,Applications
113,Statistics
114,Personal Information Management
115,Food
116,Bookmarks
117,URL Shortener
118,TV
119,Predictions
120,Restaurants
121,Real Estate
122,Database-as-a-Service
123,Collecting
124,Grocery
125,Drugs
126,Application Development
127,Design
128,Developers
129,Weddings
130,Time Tracking
131,Chat
132,Satellites
133,Recreation
134,SEO
135,Meetings
136,Comparisons
137,Jobs
138,Human Resources
139,Extraction
140,Time
141,Lyrics
142,Economics
143,Data Mining
144,Clothing
145,Fashion
146,Sustainability
147,USA
148,Aggregation
149,Banking
150,Syncing
151,Tweets
152,Contacts
153,Directories
154,Invoicing
155,Payments
156,International
157,Shipping
158,Customer Relationship Management
159,Classification
160,Sentiment
161,Planning
162,Education
163,Graphics
164,Colors
165,Fonts
166,Feedback
167,API
168,Wearable
169,Accounting
170,Genealogy
171,Library
172,Machine Learning
173,Transparency
174,Tasks
175,Copyright
176,Content Management
177,Intelligence
178,Security
179,File Sharing
180,Privacy
181,Bitcoin
182,Currency
183,Activity Streams
184,Referrals
185,Printing
186,Hardware
187,Home Automation
188,Museums
189,Storage
190,Algorithms
191,Best Practices
192,Notes
193,Voice
194,Calendars
195,Wine
196,Cloud
197,Nordic
198,Rewards
199,Taxes
200,Testing
201,Books
202,Countries
203,Blogging
204,Content
205,Nutrition
206,Dieting
